,Unnamed: 0,email_id,content,topics,main_topic,probability
0,0,1,"['here', 'forecast']","[('here', 0.5), ('forecast', 0.5)]",here,0.
1,1,2,"['travel', 'busi', 'meet', 'take', 'fun', 'trip', 'especi', 'prepar', 'present', 'I', 'would', 'suggest', 'hold', 'busi', 'plan', 'meet', 'take', 'trip', 'without', 'formal', 'busi', 'meet', 'I', 'would', 'even', 'tri', 'get', 'honest', 'opinion', 'whether', 'trip', 'even', 'desir', 'necessari', 'As', 'far', 'busi', 'meet', 'I', 'think', 'would', 'product', 'tri', 'stimul', 'discuss', 'across', 'differ', 'group', 'work', 'too', 'often', 'present', 'speak', 'other', 'quiet', 'wait', 'turn', 'the', 'meet', 'might', 'better', 'held', 'round', 'tabl', 'discuss', 'format', 'My', 'suggest', 'go', 'austin', 'play', 'golf', 'rent', 'ski', 'boat', 'jet', 'ski', 'fli', 'somewher', 'take', 'much', 'time']","[('meet', 0.04195815), ('busi', 0.034965113), ('I', 0.02797207), ('take', 0.02797207), ('trip', 0.02797207), ('would', 0.02797207), ('ski', 0.020979036), ('discuss', 0.020979036), ('suggest', 0.020979036), ('even', 0.020979036)]",meet,0.0419581
2,2,3,"['test', 'success', 'way', 'go']","[('test', 0.25), ('success', 0.25), ('way', 0.25), ('go', 0.25)]",test,0.2
3,3,4,"['randi', 'can', 'send', 'schedul', 'salari', 'level', 'everyon', 'schedul', 'group', 'plu', 'thought', 'chang', 'need', 'made', 'patti', 'S', 'exampl', 'phillip']","[('schedul', 0.08571431), ('chang', 0.057142857), ('plu', 0.057142857), ('exampl', 0.057142857), ('S', 0.057142857), ('patti', 0.057142857), ('made', 0.057142857), ('need', 0.057142857), ('randi', 0.057142857), ('thought', 0.057142857)]",schedul,0.0857143
4,4,5,"['let', 'shoot', 'tuesday', '1145']","[('let', 0.25), ('shoot', 0.25), ('tuesday', 0.25), ('1145', 0.25)]",let,0.2
5,5,6,"['greg', 'how', 'either', 'next', 'tuesday', 'thursday', 'phillip']","[('greg', 0.14285715), ('how', 0.14285715), ('either', 0.14285715), ('next', 0.14285715), ('tuesday', 0.14285715), ('thursday', 0.14285715), ('phillip', 0.14285715)]",greg,0.1428571
6,6,7,"['pleas', 'cc', 'follow', 'distribut', 'list', 'updat', 'phillip', 'allen', 'pallenenroncom', 'mike', 'grigsbi', 'mikegrigsbyenroncom', 'keith', 'holst', 'kholstenroncom', 'moniqu', 'sanchez', 'frank', 'ermi', 'john', 'lavorato', 'thank', 'help', 'phillip', 'allen']","[('phillip', 0.06250001), ('allen', 0.06250001), ('ermi', 0.04166666), ('moniqu', 0.04166666), ('sanchez', 0.04166666), ('frank', 0.04166666), ('holst', 0.04166666), ('thank', 0.04166666), ('lavorato', 0.04166666), ('mikegrigsbyenroncom', 0.04166666)]",phillip,0.0625000
7,7,8,"['morn', '10', '1130']","[('morn', 0.33333334), ('10', 0.33333334), ('1130', 0.33333334)]",morn,0.3333333
8,8,9,"['1', 'login', 'pallen', 'pw', 'ke9davi', 'I', 'dont', 'think', 'requir', 'isp', '2', 'static', 'IP', 'address', 'IP', '6421690105', 'sub', '255255255248', 'gate', '6421690110', 'dn', '15116418', '3', 'compani', '0413', 'RC', '105891']","[('IP', 0.0566038), ('dn', 0.03773585), ('3', 0.03773585), ('255255255248', 0.03773585), ('gate', 0.03773585), ('6421690110', 0.03773585), ('6421690105', 0.03773585), ('RC', 0.03773585), ('0413', 0.03773585), ('15116418', 0.03773585)]",IP,0.056603
9,9,10,"['phillip', 'As', 'discuss', 'phone', 'convers', 'In', 'parallon', '75', 'microturbin', 'power', 'gener', 'deal', 'nation', 'account', 'custom', 'I', 'develop', 'propos', 'sell', 'power', 'custom', 'fix', 'collarfloor', 'price', 'To', 'I', 'need', 'correspond', 'term', 'ga', 'price', 'microturbin', 'onsit', 'gener', 'product', 'develop', 'honeywel', 'gener', 'electr', 'custom', 'site', 'degen', 'use', 'natur', 'ga', 'In', 'I', 'need', 'best', 'fix', 'price', 'forward', 'ga', 'price', 'deal', '1', '3', '5', '7', '10', 'year', 'annualseason', 'suppli', 'microturbin', 'gener', 'fix', 'kwh', 'custom', 'We', 'opportun', 'sell', 'custom', 'kwh', 'use', 'microturbin', 'sell', 'turbin', 'kwh', 'deal', 'must', 'limit', 'risk', 'forward', 'ga', 'price', 'make', 'deal', 'work', 'therein', 'come', 'sempra', 'energi', 'ga', 'trade', 'truli', 'We', 'propos', 'instal', '180', '240', 'unit', 'across', 'larg', 'number', 'store', '60100', 'san', 'diego', 'store', 'number', 'vari', 'instal', 'hurdl', 'face', 'small', 'percent', 'for', '68', 'hour', 'day', 'microturbin', 'run', 'time', 'ga', 'requir', '180', 'microturbin', '227', '302', 'mmcf', 'per', 'year', 'ga', 'requir', '240', 'microturbin', '302', '403', 'mmcf', 'per', 'year', 'ga', 'like', 'consum', 'may', 'septemb', 'peak', 'electr', 'period', 'ga', 'price', 'requir', 'burnertip', 'price', 'behind', 'ldc', 'san', 'diego', 'ga', 'electr', 'need', 'detail', 'breakout', 'commod', 'transport', 'cost', 'firm', 'interrupt', 'should', 'addit', 'question', 'give', 'call', 'let', 'assur', 'real', 'deal', 'buck', 'buckner', 'PE', 'mba', 'manag', 'busi', 'develop', 'plan', 'big', 'box', 'retail', 'sale', 'honeywel', 'power', 'system', 'inc', '8725', 'pan', 'american', 'frwi', 'albuquerqu', 'NM', '87113', '5057986424', '5057986050x', '5052204129', '8885013145']","[('ga', 0.032353193), ('microturbin', 0.023529567), ('price', 0.023529567), ('custom', 0.017647147), ('deal', 0.017647147), ('gener', 0.014705942), ('I', 0.011764738), ('year', 0.011764738), ('fix', 0.011764738), ('develop', 0.011764738)]",ga,0.03235319
