,email_id,content,topics
0,1,"['here', 'forecast']","[(7, '0.941*""here"" + 0.059*""forecast""'), (8, '0.500*""here"" + 0.500*""forecast""'), (5, '0.500*""here"" + 0.500*""forecast""'), (4, '0.500*""here"" + 0.500*""forecast""'), (0, '0.500*""here"" + 0.500*""forecast""'), (6, '0.500*""here"" + 0.500*""forecast""'), (10, '0.500*""here"" + 0.500*""forecast""'), (13, '0.941*""forecast"" + 0.059*""here""'), (9, '0.500*""here"" + 0.500*""forecast""'), (14, '0.500*""here"" + 0.500*""forecast""')]"
1,2,"['travel', 'busi', 'meet', 'take', 'fun', 'trip', 'especi', 'prepar', 'present', 'I', 'would', 'suggest', 'hold', 'busi', 'plan', 'meet', 'take', 'trip', 'without', 'formal', 'busi', 'meet', 'I', 'would', 'even', 'tri', 'get', 'honest', 'opinion', 'whether', 'trip', 'even', 'desir', 'necessari', 'As', 'far', 'busi', 'meet', 'I', 'think', 'would', 'product', 'tri', 'stimul', 'discuss', 'across', 'differ', 'group', 'work', 'too', 'often', 'present', 'speak', 'other', 'quiet', 'wait', 'turn', 'the', 'meet', 'might', 'better', 'held', 'round', 'tabl', 'discuss', 'format', 'My', 'suggest', 'go', 'austin', 'play', 'golf', 'rent', 'ski', 'boat', 'jet', 'ski', 'fli', 'somewher', 'take', 'much', 'time']","[(3, '0.305*""I"" + 0.106*""stimul"" + 0.106*""opinion"" + 0.106*""play"" + 0.007*""wait"" + 0.007*""better"" + 0.007*""might"" + 0.007*""the"" + 0.007*""round"" + 0.007*""other""'), (6, '0.256*""ski"" + 0.132*""fun"" + 0.132*""especi"" + 0.008*""other"" + 0.008*""better"" + 0.008*""might"" + 0.008*""the"" + 0.008*""turn"" + 0.008*""wait"" + 0.008*""round""'), (5, '0.203*""take"" + 0.203*""would"" + 0.071*""group"" + 0.071*""round"" + 0.071*""desir"" + 0.071*""As"" + 0.071*""plan"" + 0.005*""ski"" + 0.005*""present"" + 0.004*""quiet""'), (1, '0.311*""busi"" + 0.082*""somewher"" + 0.082*""go"" + 0.082*""much"" + 0.082*""jet"" + 0.082*""far"" + 0.005*""speak"" + 0.005*""the"" + 0.005*""turn"" + 0.005*""wait""'), (13, '0.277*""trip"" + 0.096*""golf"" + 0.096*""boat"" + 0.096*""quiet"" + 0.096*""necessari"" + 0.006*""meet"" + 0.006*""better"" + 0.006*""might"" + 0.006*""the"" + 0.006*""round""'), (4, '0.388*""meet"" + 0.082*""the"" + 0.082*""travel"" + 0.082*""too"" + 0.082*""speak"" + 0.005*""trip"" + 0.005*""held"" + 0.005*""better"" + 0.005*""might"" + 0.005*""round""'), (11, '0.228*""even"" + 0.118*""fli"" + 0.118*""might"" + 0.118*""whether"" + 0.007*""other"" + 0.007*""the"" + 0.007*""held"" + 0.007*""better"" + 0.007*""quiet"" + 0.007*""turn""'), (8, '0.292*""tri"" + 0.151*""across"" + 0.010*""meet"" + 0.009*""the"" + 0.009*""round"" + 0.009*""held"" + 0.009*""better"" + 0.009*""might"" + 0.009*""wait"" + 0.009*""turn""'), (10, '0.151*""My"" + 0.151*""often"" + 0.151*""work"" + 0.010*""even"" + 0.010*""take"" + 0.009*""the"" + 0.009*""held"" + 0.009*""better"" + 0.009*""might"" + 0.009*""quiet""'), (2, '0.228*""discuss"" + 0.118*""rent"" + 0.118*""format"" + 0.118*""hold"" + 0.008*""busi"" + 0.007*""quiet"" + 0.007*""speak"" + 0.007*""the"" + 0.007*""turn"" + 0.007*""wait""')]"
2,3,"['test', 'success', 'way', 'go']","[(14, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (1, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (4, '0.471*""test"" + 0.471*""way"" + 0.029*""success"" + 0.029*""go""'), (12, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (7, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (8, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (10, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (3, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (9, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""'), (6, '0.250*""test"" + 0.250*""success"" + 0.250*""way"" + 0.250*""go""')]"
3,4,"['randi', 'can', 'send', 'schedul', 'salari', 'level', 'everyon', 'schedul', 'group', 'plu', 'thought', 'chang', 'need', 'made', 'patti', 'S', 'exampl', 'phillip']","[(4, '0.340*""exampl"" + 0.340*""made"" + 0.021*""thought"" + 0.021*""plu"" + 0.021*""S"" + 0.021*""patti"" + 0.021*""need"" + 0.021*""chang"" + 0.021*""randi"" + 0.021*""level""'), (6, '0.059*""thought"" + 0.059*""plu"" + 0.059*""exampl"" + 0.059*""S"" + 0.059*""patti"" + 0.059*""made"" + 0.059*""need"" + 0.059*""chang"" + 0.059*""randi"" + 0.059*""level""'), (0, '0.500*""salari"" + 0.031*""chang"" + 0.031*""plu"" + 0.031*""exampl"" + 0.031*""S"" + 0.031*""patti"" + 0.031*""made"" + 0.031*""need"" + 0.031*""randi"" + 0.031*""thought""'), (3, '0.500*""group"" + 0.031*""chang"" + 0.031*""plu"" + 0.031*""exampl"" + 0.031*""S"" + 0.031*""patti"" + 0.031*""made"" + 0.031*""need"" + 0.031*""randi"" + 0.031*""thought""'), (13, '0.340*""level"" + 0.340*""thought"" + 0.021*""plu"" + 0.021*""exampl"" + 0.021*""S"" + 0.021*""patti"" + 0.021*""made"" + 0.021*""need"" + 0.021*""chang"" + 0.021*""randi""'), (8, '0.340*""plu"" + 0.340*""S"" + 0.021*""thought"" + 0.021*""exampl"" + 0.021*""patti"" + 0.021*""made"" + 0.021*""need"" + 0.021*""chang"" + 0.021*""randi"" + 0.021*""level""'), (1, '0.500*""can"" + 0.031*""plu"" + 0.031*""exampl"" + 0.031*""S"" + 0.031*""patti"" + 0.031*""made"" + 0.031*""need"" + 0.031*""chang"" + 0.031*""randi"" + 0.031*""thought""'), (2, '0.059*""thought"" + 0.059*""plu"" + 0.059*""exampl"" + 0.059*""S"" + 0.059*""patti"" + 0.059*""made"" + 0.059*""need"" + 0.059*""chang"" + 0.059*""randi"" + 0.059*""level""'), (10, '0.059*""thought"" + 0.059*""plu"" + 0.059*""exampl"" + 0.059*""S"" + 0.059*""patti"" + 0.059*""made"" + 0.059*""need"" + 0.059*""chang"" + 0.059*""randi"" + 0.059*""level""'), (9, '0.500*""randi"" + 0.031*""thought"" + 0.031*""exampl"" + 0.031*""S"" + 0.031*""patti"" + 0.031*""made"" + 0.031*""need"" + 0.031*""chang"" + 0.031*""plu"" + 0.031*""level""')]"
4,5,"['let', 'shoot', 'tuesday', '1145']","[(4, '0.842*""let"" + 0.053*""shoot"" + 0.053*""tuesday"" + 0.053*""1145""'), (2, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""'), (1, '0.842*""shoot"" + 0.053*""let"" + 0.053*""tuesday"" + 0.053*""1145""'), (10, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""'), (3, '0.842*""tuesday"" + 0.053*""let"" + 0.053*""shoot"" + 0.053*""1145""'), (5, '0.842*""1145"" + 0.053*""let"" + 0.053*""shoot"" + 0.053*""tuesday""'), (13, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""'), (9, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""'), (0, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""'), (14, '0.250*""let"" + 0.250*""shoot"" + 0.250*""tuesday"" + 0.250*""1145""')]"
5,6,"['greg', 'how', 'either', 'next', 'tuesday', 'thursday', 'phillip']","[(8, '0.727*""how"" + 0.045*""greg"" + 0.045*""either"" + 0.045*""next"" + 0.045*""tuesday"" + 0.045*""thursday"" + 0.045*""phillip""'), (5, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""'), (3, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""'), (10, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""'), (4, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""'), (11, '0.727*""tuesday"" + 0.045*""greg"" + 0.045*""how"" + 0.045*""either"" + 0.045*""next"" + 0.045*""thursday"" + 0.045*""phillip""'), (0, '0.727*""phillip"" + 0.045*""greg"" + 0.045*""how"" + 0.045*""either"" + 0.045*""next"" + 0.045*""tuesday"" + 0.045*""thursday""'), (1, '0.308*""greg"" + 0.308*""next"" + 0.308*""thursday"" + 0.019*""how"" + 0.019*""either"" + 0.019*""tuesday"" + 0.019*""phillip""'), (9, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""'), (13, '0.143*""greg"" + 0.143*""how"" + 0.143*""either"" + 0.143*""next"" + 0.143*""tuesday"" + 0.143*""thursday"" + 0.143*""phillip""')]"
6,7,"['pleas', 'cc', 'follow', 'distribut', 'list', 'updat', 'phillip', 'allen', 'pallenenroncom', 'mike', 'grigsbi', 'mikegrigsbyenroncom', 'keith', 'holst', 'kholstenroncom', 'moniqu', 'sanchez', 'frank', 'ermi', 'john', 'lavorato', 'thank', 'help', 'phillip', 'allen']","[(1, '0.421*""holst"" + 0.026*""frank"" + 0.026*""kholstenroncom"" + 0.026*""moniqu"" + 0.026*""sanchez"" + 0.026*""keith"" + 0.026*""thank"" + 0.026*""lavorato"" + 0.026*""mikegrigsbyenroncom"" + 0.026*""john""'), (12, '0.043*""frank"" + 0.043*""ermi"" + 0.043*""kholstenroncom"" + 0.043*""moniqu"" + 0.043*""sanchez"" + 0.043*""keith"" + 0.043*""thank"" + 0.043*""lavorato"" + 0.043*""mikegrigsbyenroncom"" + 0.043*""john""'), (10, '0.421*""moniqu"" + 0.027*""phillip"" + 0.026*""ermi"" + 0.026*""sanchez"" + 0.026*""frank"" + 0.026*""holst"" + 0.026*""thank"" + 0.026*""lavorato"" + 0.026*""mikegrigsbyenroncom"" + 0.026*""john""'), (3, '0.421*""pleas"" + 0.026*""ermi"" + 0.026*""kholstenroncom"" + 0.026*""moniqu"" + 0.026*""sanchez"" + 0.026*""keith"" + 0.026*""frank"" + 0.026*""lavorato"" + 0.026*""john"" + 0.026*""thank""'), (9, '0.421*""help"" + 0.026*""ermi"" + 0.026*""kholstenroncom"" + 0.026*""moniqu"" + 0.026*""sanchez"" + 0.026*""keith"" + 0.026*""frank"" + 0.026*""lavorato"" + 0.026*""john"" + 0.026*""thank""'), (6, '0.421*""frank"" + 0.026*""ermi"" + 0.026*""kholstenroncom"" + 0.026*""moniqu"" + 0.026*""sanchez"" + 0.026*""keith"" + 0.026*""thank"" + 0.026*""lavorato"" + 0.026*""mikegrigsbyenroncom"" + 0.026*""john""'), (2, '0.043*""frank"" + 0.043*""ermi"" + 0.043*""kholstenroncom"" + 0.043*""moniqu"" + 0.043*""sanchez"" + 0.043*""keith"" + 0.043*""thank"" + 0.043*""lavorato"" + 0.043*""mikegrigsbyenroncom"" + 0.043*""john""'), (8, '0.235*""updat"" + 0.235*""grigsbi"" + 0.235*""john"" + 0.015*""frank"" + 0.015*""moniqu"" + 0.015*""sanchez"" + 0.015*""holst"" + 0.015*""thank"" + 0.015*""lavorato"" + 0.015*""ermi""'), (7, '0.235*""keith"" + 0.235*""mikegrigsbyenroncom"" + 0.235*""lavorato"" + 0.015*""sanchez"" + 0.015*""kholstenroncom"" + 0.015*""moniqu"" + 0.015*""ermi"" + 0.015*""john"" + 0.015*""frank"" + 0.015*""thank""'), (11, '0.456*""phillip"" + 0.235*""pallenenroncom"" + 0.015*""ermi"" + 0.015*""moniqu"" + 0.015*""sanchez"" + 0.015*""frank"" + 0.015*""holst"" + 0.015*""thank"" + 0.015*""lavorato"" + 0.015*""mikegrigsbyenroncom""')]"
7,8,"['morn', '10', '1130']","[(10, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (2, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (9, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (3, '0.889*""morn"" + 0.056*""10"" + 0.056*""1130""'), (0, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (13, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (8, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (1, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""'), (14, '0.889*""1130"" + 0.056*""morn"" + 0.056*""10""'), (4, '0.333*""morn"" + 0.333*""10"" + 0.333*""1130""')]"
8,9,"['1', 'login', 'pallen', 'pw', 'ke9davi', 'I', 'dont', 'think', 'requir', 'isp', '2', 'static', 'IP', 'address', 'IP', '6421690105', 'sub', '255255255248', 'gate', '6421690110', 'dn', '15116418', '3', 'compani', '0413', 'RC', '105891']","[(6, '0.038*""dn"" + 0.038*""3"" + 0.038*""255255255248"" + 0.038*""gate"" + 0.038*""6421690110"" + 0.038*""6421690105"" + 0.038*""15116418"" + 0.038*""RC"" + 0.038*""0413"" + 0.038*""IP""'), (13, '0.553*""IP"" + 0.018*""dn"" + 0.018*""3"" + 0.018*""255255255248"" + 0.018*""gate"" + 0.018*""6421690110"" + 0.018*""6421690105"" + 0.018*""RC"" + 0.018*""0413"" + 0.018*""15116418""'), (12, '0.390*""compani"" + 0.025*""IP"" + 0.024*""6421690110"" + 0.024*""3"" + 0.024*""255255255248"" + 0.024*""gate"" + 0.024*""6421690105"" + 0.024*""dn"" + 0.024*""0413"" + 0.024*""15116418""'), (2, '0.186*""I"" + 0.186*""sub"" + 0.186*""6421690105"" + 0.186*""0413"" + 0.012*""6421690110"" + 0.012*""dn"" + 0.012*""255255255248"" + 0.012*""gate"" + 0.012*""compani"" + 0.012*""15116418""'), (8, '0.158*""think"" + 0.158*""gate"" + 0.158*""6421690110"" + 0.158*""isp"" + 0.158*""3"" + 0.010*""15116418"" + 0.010*""dn"" + 0.010*""sub"" + 0.010*""RC"" + 0.010*""0413""'), (9, '0.286*""requir"" + 0.286*""pallen"" + 0.018*""3"" + 0.018*""gate"" + 0.018*""6421690110"" + 0.018*""dn"" + 0.018*""sub"" + 0.018*""15116418"" + 0.018*""RC"" + 0.018*""0413""'), (4, '0.390*""RC"" + 0.024*""dn"" + 0.024*""3"" + 0.024*""255255255248"" + 0.024*""gate"" + 0.024*""6421690110"" + 0.024*""6421690105"" + 0.024*""0413"" + 0.024*""compani"" + 0.024*""15116418""'), (10, '0.286*""address"" + 0.286*""static"" + 0.018*""dn"" + 0.018*""255255255248"" + 0.018*""gate"" + 0.018*""6421690110"" + 0.018*""15116418"" + 0.018*""RC"" + 0.018*""compani"" + 0.018*""IP""'), (14, '0.038*""dn"" + 0.038*""3"" + 0.038*""255255255248"" + 0.038*""gate"" + 0.038*""6421690110"" + 0.038*""6421690105"" + 0.038*""15116418"" + 0.038*""RC"" + 0.038*""0413"" + 0.038*""IP""'), (0, '0.390*""1"" + 0.024*""dn"" + 0.024*""3"" + 0.024*""255255255248"" + 0.024*""gate"" + 0.024*""6421690110"" + 0.024*""6421690105"" + 0.024*""RC"" + 0.024*""0413"" + 0.024*""15116418""')]"
9,10,"['phillip', 'As', 'discuss', 'phone', 'convers', 'In', 'parallon', '75', 'microturbin', 'power', 'gener', 'deal', 'nation', 'account', 'custom', 'I', 'develop', 'propos', 'sell', 'power', 'custom', 'fix', 'collarfloor', 'price', 'To', 'I', 'need', 'correspond', 'term', 'ga', 'price', 'microturbin', 'onsit', 'gener', 'product', 'develop', 'honeywel', 'gener', 'electr', 'custom', 'site', 'degen', 'use', 'natur', 'ga', 'In', 'I', 'need', 'best', 'fix', 'price', 'forward', 'ga', 'price', 'deal', '1', '3', '5', '7', '10', 'year', 'annualseason', 'suppli', 'microturbin', 'gener', 'fix', 'kwh', 'custom', 'We', 'opportun', 'sell', 'custom', 'kwh', 'use', 'microturbin', 'sell', 'turbin', 'kwh', 'deal', 'must', 'limit', 'risk', 'forward', 'ga', 'price', 'make', 'deal', 'work', 'therein', 'come', 'sempra', 'energi', 'ga', 'trade', 'truli', 'We', 'propos', 'instal', '180', '240', 'unit', 'across', 'larg', 'number', 'store', '60100', 'san', 'diego', 'store', 'number', 'vari', 'instal', 'hurdl', 'face', 'small', 'percent', 'for', '68', 'hour', 'day', 'microturbin', 'run', 'time', 'ga', 'requir', '180', 'microturbin', '227', '302', 'mmcf', 'per', 'year', 'ga', 'requir', '240', 'microturbin', '302', '403', 'mmcf', 'per', 'year', 'ga', 'like', 'consum', 'may', 'septemb', 'peak', 'electr', 'period', 'ga', 'price', 'requir', 'burnertip', 'price', 'behind', 'ldc', 'san', 'diego', 'ga', 'electr', 'need', 'detail', 'breakout', 'commod', 'transport', 'cost', 'firm', 'interrupt', 'should', 'addit', 'question', 'give', 'call', 'let', 'assur', 'real', 'deal', 'buck', 'buckner', 'PE', 'mba', 'manag', 'busi', 'develop', 'plan', 'big', 'box', 'retail', 'sale', 'honeywel', 'power', 'system', 'inc', '8725', 'pan', 'american', 'frwi', 'albuquerqu', 'NM', '87113', '5057986424', '5057986050x', '5052204129', '8885013145']","[(11, '0.194*""deal"" + 0.118*""electr"" + 0.041*""convers"" + 0.041*""3"" + 0.041*""PE"" + 0.041*""pan"" + 0.041*""interrupt"" + 0.041*""plan"" + 0.041*""discuss"" + 0.041*""5057986050x""'), (5, '0.133*""I"" + 0.133*""fix"" + 0.090*""store"" + 0.090*""mmcf"" + 0.090*""forward"" + 0.046*""trade"" + 0.046*""time"" + 0.003*""ga"" + 0.003*""septemb"" + 0.003*""period""'), (0, '0.139*""year"" + 0.094*""propos"" + 0.048*""breakout"" + 0.048*""suppli"" + 0.048*""behind"" + 0.048*""403"" + 0.048*""truli"" + 0.048*""60100"" + 0.048*""correspond"" + 0.048*""best""'), (1, '0.161*""kwh"" + 0.108*""240"" + 0.056*""term"" + 0.056*""percent"" + 0.056*""inc"" + 0.056*""question"" + 0.056*""8725"" + 0.004*""deal"" + 0.004*""propos"" + 0.004*""price""'), (14, '0.133*""need"" + 0.046*""energi"" + 0.046*""As"" + 0.046*""must"" + 0.046*""face"" + 0.046*""larg"" + 0.046*""retail"" + 0.046*""nation"" + 0.046*""buck"" + 0.046*""vari""'), (7, '0.098*""instal"" + 0.098*""In"" + 0.051*""ldc"" + 0.051*""real"" + 0.051*""hurdl"" + 0.051*""site"" + 0.051*""box"" + 0.051*""75"" + 0.051*""parallon"" + 0.051*""transport""'), (13, '0.261*""microturbin"" + 0.113*""power"" + 0.076*""honeywel"" + 0.039*""detail"" + 0.039*""across"" + 0.039*""onsit"" + 0.039*""10"" + 0.039*""cost"" + 0.039*""should"" + 0.003*""ga""'), (3, '0.093*""san"" + 0.048*""opportun"" + 0.048*""day"" + 0.048*""call"" + 0.048*""big"" + 0.048*""american"" + 0.048*""give"" + 0.048*""assur"" + 0.048*""natur"" + 0.048*""7""'), (8, '0.076*""product"" + 0.076*""firm"" + 0.076*""phone"" + 0.076*""1"" + 0.076*""like"" + 0.005*""microturbin"" + 0.005*""ga"" + 0.005*""period"" + 0.005*""burnertip"" + 0.005*""septemb""'), (10, '0.176*""gener"" + 0.133*""requir"" + 0.090*""302"" + 0.046*""commod"" + 0.046*""degen"" + 0.046*""87113"" + 0.046*""8885013145"" + 0.046*""let"" + 0.003*""ga"" + 0.003*""peak""')]"
